pruning,,rubik3_h0,rubik3_h0,rubik3_h2,rubik3_h2,rubik3_h1,rubik3_h1
rubik3.d=040,ORANGE WHITE RED RED GREEN BLUE ORANGE RED BLUE GREEN WHITE BLUE ORANGE WHITE BLUE WHITE BLUE GREEN RED YELLOW WHITE RED GREEN BLUE GREEN ORANGE YELLOW YELLOW YELLOW WHITE GREEN ORANGE RED GREEN YELLOW ORANGE ORANGE RED RED GREEN WHITE YELLOW BLUE BLUE WHITE ORANGE YELLOW YELLOW,"(False, '15137947', '840999')","(False, '15906892', '883720')","(False, '14923405', '829080')","(False, '16700426', '927805')","(False, '16015666', '889761')","(False, '15186645', '843707')"
rubik3.d=040,WHITE YELLOW GREEN WHITE RED YELLOW WHITE RED ORANGE GREEN GREEN ORANGE YELLOW GREEN ORANGE ORANGE BLUE RED BLUE ORANGE YELLOW RED RED ORANGE BLUE GREEN ORANGE YELLOW GREEN YELLOW RED BLUE YELLOW WHITE WHITE WHITE RED WHITE GREEN BLUE BLUE GREEN ORANGE RED WHITE BLUE YELLOW BLUE,"(False, '15592339', '866243')","(False, '15443114', '857953')","(False, '15396481', '855362')","(False, '15308833', '850497')","(False, '19330363', '1073912')","(False, '16562135', '920123')"
rubik3.d=040,GREEN BLUE YELLOW YELLOW GREEN ORANGE RED BLUE ORANGE ORANGE BLUE GREEN WHITE BLUE ORANGE GREEN RED GREEN YELLOW ORANGE WHITE ORANGE RED RED WHITE WHITE GREEN RED RED WHITE ORANGE WHITE GREEN WHITE WHITE YELLOW BLUE BLUE BLUE YELLOW YELLOW RED BLUE YELLOW ORANGE GREEN YELLOW RED,"(False, '15659839', '869992')","(False, '21371895', '1187333')","(False, '16149043', '897171')","(False, '20932917', '1162944')","(False, '16140061', '896671')","(False, '15252607', '847371')"
rubik3.d=040,YELLOW ORANGE RED BLUE WHITE GREEN WHITE RED BLUE GREEN GREEN GREEN YELLOW BLUE RED WHITE BLUE YELLOW RED BLUE YELLOW ORANGE BLUE WHITE BLUE GREEN GREEN ORANGE RED YELLOW GREEN WHITE GREEN ORANGE ORANGE YELLOW WHITE YELLOW ORANGE BLUE WHITE RED ORANGE WHITE YELLOW RED ORANGE RED,"(False, '15205231', '844738')","(False, '22029978', '1223893')","(False, '15513481', '861861')","(False, '16672161', '926234')","(False, '14919049', '828838')","(False, '16632577', '924037')"
rubik3.d=040,RED BLUE YELLOW GREEN RED ORANGE RED YELLOW BLUE RED BLUE WHITE GREEN WHITE ORANGE GREEN WHITE RED YELLOW YELLOW WHITE GREEN WHITE ORANGE GREEN ORANGE RED BLUE BLUE ORANGE ORANGE GREEN YELLOW WHITE WHITE YELLOW ORANGE RED ORANGE RED BLUE BLUE GREEN WHITE YELLOW YELLOW GREEN BLUE,"(False, '14738833', '818825')","(False, '15332459', '851806')","(False, '16257529', '903198')","(False, '16602388', '922360')","(False, '21249253', '1180516')","(False, '22120164', '1228903')"
rubik3.d=040,RED ORANGE GREEN ORANGE GREEN ORANGE WHITE RED RED RED BLUE YELLOW ORANGE BLUE BLUE RED ORANGE WHITE YELLOW ORANGE GREEN BLUE WHITE YELLOW ORANGE GREEN RED YELLOW WHITE WHITE BLUE GREEN GREEN GREEN RED GREEN YELLOW WHITE YELLOW BLUE YELLOW RED BLUE YELLOW ORANGE BLUE WHITE WHITE,"(False, '14822551', '823476')","(False, '15478889', '859943')","(False, '21026503', '1168141')","(False, '20178051', '1121008')","(False, '14577445', '809859')","(False, '16421138', '912289')"
rubik3.d=080,YELLOW ORANGE GREEN RED ORANGE RED ORANGE YELLOW GREEN BLUE WHITE YELLOW ORANGE RED BLUE GREEN BLUE YELLOW WHITE GREEN WHITE RED ORANGE YELLOW BLUE BLUE WHITE WHITE GREEN WHITE YELLOW WHITE RED ORANGE RED GREEN RED GREEN GREEN WHITE YELLOW ORANGE BLUE ORANGE RED BLUE YELLOW BLUE,"(False, '15922351', '884577')","(False, '16325443', '906973')","(False, '16046893', '891496')","(False, '20311444', '1128419')","(False, '14450671', '802817')","(False, '15950900', '886171')"
rubik3.d=080,YELLOW BLUE RED WHITE BLUE WHITE WHITE RED GREEN YELLOW WHITE WHITE YELLOW YELLOW ORANGE GREEN BLUE RED WHITE RED RED ORANGE ORANGE BLUE WHITE BLUE RED ORANGE ORANGE GREEN GREEN GREEN BLUE BLUE GREEN ORANGE ORANGE WHITE YELLOW YELLOW BLUE GREEN GREEN ORANGE RED YELLOW YELLOW RED,"(False, '14615029', '811948')","(False, '16506637', '917040')","(False, '15111001', '839501')","(False, '14941525', '830088')","(False, '15886009', '882557')","(False, '15604733', '866933')"
rubik3.d=080,BLUE GREEN WHITE YELLOW ORANGE GREEN WHITE YELLOW RED WHITE BLUE ORANGE WHITE GREEN ORANGE RED ORANGE RED ORANGE GREEN BLUE YELLOW WHITE ORANGE RED BLUE GREEN YELLOW GREEN BLUE YELLOW ORANGE YELLOW BLUE GREEN ORANGE RED BLUE BLUE WHITE GREEN RED YELLOW WHITE RED RED YELLOW WHITE,"(False, '14633626', '812981')","(False, '16024580', '890257')","(False, '14557609', '808759')","(False, '20298199', '1127684')","(False, '14694625', '816370')","(False, '16003368', '889080')"
rubik3.d=080,WHITE GREEN WHITE WHITE GREEN YELLOW BLUE RED RED ORANGE YELLOW ORANGE WHITE YELLOW YELLOW BLUE ORANGE WHITE RED WHITE YELLOW YELLOW RED YELLOW GREEN GREEN BLUE RED ORANGE ORANGE BLUE BLUE WHITE RED ORANGE BLUE GREEN GREEN GREEN BLUE YELLOW RED BLUE GREEN RED ORANGE ORANGE WHITE,"(False, '14554046', '808560')","(False, '16220181', '901125')","(False, '14619970', '812222')","(False, '15872913', '881832')","(False, '20715517', '1150864')","(False, '16281913', '904555')"
